,Content ID,Reaction Type,Datetime,Content Type,Category,Sentiment,Score
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,7/11/20 9:43,photo,studying,negative,0
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,17/6/21 12:22,photo,studying,negative,10
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,18/4/21 5:13,photo,studying,negative,15
3,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,6/1/21 19:13,photo,studying,negative,0
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,23/8/20 12:25,photo,studying,positive,30
5,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,7/12/20 6:27,photo,studying,neutral,35
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,11/4/21 17:35,photo,studying,positive,70
7,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,27/1/21 8:32,photo,studying,negative,5
8,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,1/4/21 22:54,photo,studying,neutral,35
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,love,4/8/20 5:05,photo,studying,positive,65
10,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,7/11/20 8:36,photo,studying,neutral,20
11,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2/11/20 6:28,photo,studying,negative,15
12,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,1/11/20 1:16,photo,studying,positive,30
13,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,7/10/20 18:39,photo,studying,negative,5
14,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,3/9/20 18:51,photo,studying,negative,15
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,24/2/21 5:09,photo,studying,positive,75
16,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,23/9/20 6:24,photo,studying,neutral,35
17,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,24/2/21 11:37,photo,studying,neutral,20
18,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,22/5/21 19:44,photo,studying,positive,30
19,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,31/1/21 16:03,photo,studying,positive,45
20,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,20/11/20 17:26,photo,studying,neutral,35
21,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,11/4/21 20:47,photo,studying,negative,12
22,97522e57-d9ab-4bd6-97bf-c24d952602d2,like,13/6/21 16:46,photo,studying,positive,50
23,97522e57-d9ab-4bd6-97bf-c24d952602d2,heart,11/4/21 14:29,photo,studying,positive,60
24,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,2/3/21 19:21,photo,studying,negative,12
25,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,27/6/20 18:44,photo,studying,negative,5
26,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,9/5/21 21:05,photo,studying,negative,5
27,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,4/8/20 23:58,photo,studying,positive,70
28,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,28/8/20 3:57,photo,studying,positive,75
29,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,25/8/20 8:21,photo,studying,positive,45
30,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,20/4/21 23:48,photo,studying,negative,15
31,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,7/3/21 12:40,photo,studying,positive,30
32,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,24/5/21 3:21,photo,studying,neutral,20
